,GeoID,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
215,United States / Hawaii,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,United States / Iowa,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,United States / Idaho,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,United States / Illinois,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,United States / Indiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,United States / Kansas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,United States / Kentucky,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,United States / Louisiana,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,United States / Massachusetts,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,United States / Maryland,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,United States / Maine,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,United States / Michigan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,United States / Minnesota,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,United States / Missouri,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,United States / Mississippi,0.0,0.0,0.0,0.0,0.0,0.0,0.0
230,United States / Montana,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,United States / North Carolina,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,United States / North Dakota,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,United States / Nebraska,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,United States / New Hampshire,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,United States / New Jersey,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,United States / New Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,United States / Nevada,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,United States / New York,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,United States / Ohio,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,United States / Oklahoma,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,United States / Oregon,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,United States / Pennsylvania,0.0,0.0,0.0,0.0,0.0,0.0,0.0
243,United States / Rhode Island,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,United States / South Carolina,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,United States / South Dakota,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,United States / Tennessee,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,United States / Texas,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,United States / Utah,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,United States / Virginia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,United States / Virgin Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0
